feature_group,feature_count,model,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,center_prob,sharpness,min_position,max_position,smoothing_window,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,excess_return_vs_buy_hold,lower_prob,upper_prob,lower_rank,upper_rank
market,12,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,0.9820005356118853,0.9808585882272443,0.9831424829965263,sigmoid,0.55,8.0,0.5,1.0,5,0.48760330578512395,0.6234177215189873,0.5736434108527132,0.6182065217391304,0.09148187491565607,-0.438264172917037,0.42943833487777355,0.8469313545745363,0.6311204943427233,-0.1303475223914058,2.2891055183692046,-0.1458387115219908,,,,
market,12,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.203165523896078,1.2877710853325988,1.118559962459557,linear_clipped,,,0.0,1.0,1,0.5247933884297521,0.6518987341772152,0.5761130548123757,0.5672554347826086,0.1201067256405588,-0.4577482649016674,0.4885889238307631,0.856214770846687,0.6376553485722596,-0.17260282015581208,2.001466500598639,-0.13655529524984011,0.45,0.5,,
market,12,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.252430126242888,1.3551725771114922,1.1496876753742842,linear_clipped,,,0.0,1.0,5,0.5206611570247934,0.43037974683544306,0.48315840021952394,0.5381162655279503,0.12639306998627076,-0.4426192568143863,0.502185562602705,0.40593043989634015,0.31218924902761946,-0.11655788789492305,1.512551319807241,-0.5868396262001869,0.35,0.5,,
market,12,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.0252560667701616,1.0358521098104483,1.0146600237298748,linear_clipped,,,0.0,1.0,1,0.5247933884297521,0.6677215189873418,0.5716539754407629,0.5456618788819876,0.09661096337247299,-0.4577482649016674,0.4432052511142876,0.8770918039836557,0.6523271628538987,-0.1760364026247887,2.021846258789428,-0.11567826211287136,0.5,0.5,,
market,12,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.0188136486270112,1.0268501268246495,1.0107771704293729,linear_clipped,,,0.0,1.0,1,0.5371900826446281,0.6772151898734177,0.5446936955477808,0.5562888198757765,0.09577137416829618,-0.45087224789923375,0.44150921408529054,0.743820039073666,0.5580806520504187,-0.1760364026247888,1.8195393434923819,-0.24895002702286106,0.5,0.55,,
regime,20,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,1.2813349163212728,1.3818801020609774,1.1807897305815684,sigmoid,0.55,8.0,0.0,1.0,3,0.49586776859504134,0.7120253164556962,0.5816011525005145,0.6101513975155279,0.12888400444518333,-0.40518463377013425,0.5157709940437141,0.8282689697080219,0.6179633433064675,-0.12508511055657645,2.4825745489807587,-0.16450109638850519,,,,
regime,20,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.6402122881004897,1.9116968148530609,1.3687277613479187,linear_clipped,,,0.0,1.0,1,0.5371900826446281,0.6740506329113924,0.5911367222336558,0.6456230590062111,0.1782984937809695,-0.45994469117645786,0.5978626505313062,0.9023195936616546,0.6700125625175777,-0.17579860889435983,2.127756685352146,-0.09045047243487248,0.5,0.5,,
regime,20,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.172969265006604,1.2396662323334835,1.1062722976797243,rank_linear,,,0.0,1.0,3,0.5041322314049587,0.4525316455696203,0.5396858064073541,0.5796292701863355,0.11562012359851037,-0.40840792215679833,0.483221650628913,0.4488205135388481,0.3440147572318031,-0.06281353247414001,2.2770955691854367,-0.543949552557679,,,0.4,0.7
regime,20,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.2237360166538642,1.3165088258985418,1.1309632074091869,linear_clipped,,,0.0,1.0,5,0.5454545454545454,0.6518987341772152,0.5665088838581327,0.5915178571428571,0.1227870125028716,-0.45940986022571884,0.4940066826504366,0.8796806140026951,0.6541441988994685,-0.16920519199078576,2.14733569109202,-0.11308945209383192,0.35,0.5,,
regime,20,lightgbm,weighted_valid_return_sharpe,0.5,0.5,2.0592036370684346,2.5145374441689046,1.6038698299679648,linear_clipped,,,0.0,1.0,1,0.5413223140495868,0.6677215189873418,0.5837277903546684,0.6348990683229814,0.23452371493626467,-0.44621088673421194,0.7005731122948271,1.0206619430703543,0.7523527239169472,-0.1570008315267446,2.3632789684040945,0.027891876973827223,0.5,0.5,,
momentum,20,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,3.601936276553405,4.690702857001082,2.513169696105728,linear_clipped,,,0.0,1.0,3,0.5661157024793388,0.6867088607594937,0.6001920834190848,0.6195652173913044,0.4374884383754478,-0.45113759119479424,1.0977568645711115,0.8731024964893774,0.6495261504194441,-0.14837909112634295,2.104743746233473,-0.11966756960714964,0.45,0.5,,
momentum,20,random_forest,weighted_valid_return_sharpe,0.5,0.5,2.316076134731566,2.857197985588721,1.7749542838744112,linear_clipped,,,0.0,1.0,5,0.5619834710743802,0.6740506329113924,0.5838649927968718,0.63868400621118,0.2664826835021148,-0.40875702533144653,0.7753030972967235,0.8747483313384325,0.6506818866902162,-0.07642323958659691,2.9981902355827534,-0.11802173475809452,0.5,0.65,,
momentum,20,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8217271288704193,2.158334610378731,1.4851196473621076,linear_clipped,,,0.0,1.0,5,0.5289256198347108,0.6550632911392406,0.5561500994717706,0.5980687111801242,0.2013016954968576,-0.4230023627949723,0.6487028274005561,0.7765679129423413,0.5813703745770851,-0.13148716351379897,2.2589572016550203,-0.21620215315418578,0.5,0.6,,
momentum,20,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.9076433822832413,2.1959474112113573,1.6193393533551255,rank_linear,,,0.0,1.0,5,0.5578512396694215,0.6645569620253164,0.5928517527611992,0.6114130434782609,0.20480973384437995,-0.40455817044046827,0.7073302268327801,0.665620374551803,0.5021035336123303,-0.060503304521451695,2.658258568885346,-0.32714969154472406,,,0.4,0.8
momentum,20,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.263096647513241,1.3718872993085944,1.1543059957178876,linear_clipped,,,0.0,1.0,3,0.5495867768595041,0.6582278481012658,0.5713109693352543,0.6122864906832297,0.12795200431547804,-0.44623401337798196,0.504202852906593,1.0512823359715475,0.773496821139261,-0.1194825531696011,2.772462108192003,0.05851226987502045,0.5,0.65,,
composite,28,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,4.239949836670684,5.6343331041511995,2.8455665691901695,linear_clipped,,,0.0,1.0,3,0.5661157024793388,0.6867088607594937,0.5973794333539137,0.633685947204969,0.5254981324052839,-0.41488913361921986,1.2429483929250598,1.0734542302914836,0.7887671243070271,-0.14618825927768064,2.688602916834085,0.0806841641949565,0.5,0.5,,
composite,28,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.9314112046292553,2.3207449902006894,1.5420774190578213,linear_clipped,,,0.0,1.0,5,0.5413223140495868,0.6392405063291139,0.5818755573849214,0.6458656832298136,0.2164492470707593,-0.4111561824129981,0.6735820804675219,0.9020883165155773,0.6698506472574943,-0.10764936703034711,2.6840113378892125,-0.09068174958094977,0.5,0.6,,
composite,28,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8188624418961612,2.1604101835613823,1.47731470023094,linear_clipped,,,0.0,1.0,5,0.5413223140495868,0.6360759493670886,0.5353639294779446,0.5997670807453415,0.20149527827071778,-0.4249561112255924,0.6452936130112014,0.8754688544376739,0.6511877869195555,-0.13475047976254018,2.5103321781655175,-0.11730121165885321,0.5,0.55,,
composite,28,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8364446718824448,2.0861888893182985,1.586700454446591,rank_linear,,,0.0,1.0,3,0.5371900826446281,0.6677215189873418,0.6028675310420526,0.6422263198757764,0.19457287045625837,-0.40840792215679833,0.6930734994082828,0.6818713360424886,0.5137793895907541,-0.03218332417731118,3.5706009653832105,-0.31089873005403845,,,0.4,0.8
composite,28,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.3322162660489034,1.467050752215726,1.197381779882081,linear_clipped,,,0.0,1.0,5,0.5371900826446281,0.6518987341772152,0.5647252521094874,0.6499417701863354,0.13682762736642817,-0.41138206817560785,0.5230184298396985,0.8599531960298739,0.6402850589699656,-0.12799888591944286,2.453287652706081,-0.13281687006665321,0.5,0.65,,
