model,feature_group,feature_count,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,lower_prob,upper_prob,min_position,max_position,smoothing_window,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,excess_return_vs_buy_hold
logistic_regression,minimal,12,weighted_valid_return_sharpe,0.5,0.5,4.142673977525592,5.451628995167213,2.833718959883971,linear_clipped,0.5,0.6,0.0,1.0,3,0.5619834710743802,0.680379746835443,0.6134321190917199,0.622961956521739,0.5084578426581947,-0.4084079221771737,1.237773336621469,0.8853742545820131,0.6581386741639339,-0.14683389541087355,2.3516354261139853,-0.10739581157120837
random_forest,momentum,16,weighted_valid_return_sharpe,0.5,0.5,2.5202125947702587,3.179418644231415,1.8610065453091027,linear_clipped,0.5,0.5,0.0,1.0,5,0.5826446280991735,0.6455696202531646,0.5903135075804349,0.6412558229813664,0.2965352826074994,-0.4084079221771736,0.8128908736792867,0.8975494316357198,0.6666722029140495,-0.16904184219102147,2.2853792661038503,-0.09522063451750173
gradient_boosting,composite,20,weighted_valid_return_sharpe,0.5,0.5,2.4572160827057585,3.0692866863549995,1.8451454790565176,linear_clipped,0.5,0.5,0.0,1.0,5,0.5495867768595041,0.6424050632911392,0.5560128970295671,0.630580357142857,0.286263589915424,-0.4293843928337703,0.8059627325418747,0.8415351563177962,0.6273189043837086,-0.12207501292283429,2.367338266520462,-0.1512349098354253
hist_gradient_boosting,composite,20,weighted_valid_return_sharpe,0.5,0.5,1.6865320112895512,1.9710326495989419,1.4020313729801608,linear_clipped,0.5,0.5,0.0,1.0,5,0.5743801652892562,0.6424050632911392,0.5688413253755916,0.6462053571428572,0.1838325773291556,-0.4084079221771736,0.6124097255758524,0.924355645131685,0.6854216209573643,-0.12207501292283418,2.593936064371164,-0.0684144210215365
lightgbm,composite,20,weighted_valid_return_sharpe,0.5,0.5,1.5420733693020967,1.7659634430402007,1.3181832955639925,linear_clipped,0.5,0.65,0.0,1.0,5,0.5371900826446281,0.6677215189873418,0.5605405776222816,0.6298524844720497,0.16470635900892172,-0.4084079221771736,0.5757847405219516,0.807382593246649,0.6032059519200819,-0.1715690125306195,2.0706387377994755,-0.18538747290657254
