feature,importance
volatility5,0.04576287015010313
volatility20_rank,0.042383197417327
rebound_from_60d_low,0.038113179558593065
volatility20,0.037763411592188476
macd_histogram,0.03623158277192875
bb_width,0.035256669423942004
trend_strength60,0.0349127690178403
macd_signal,0.034099145655852675
ma60,0.03353241837274028
rebound_from_20d_low,0.033197628240620274
bb_lower,0.0325945085783054
ma60_slope,0.031352430763176294
ma10,0.029605607818603392
ma20_slope,0.029073320694930342
close_vs_ma60,0.028717077747396385
ma5,0.028634250295164768
bb_upper,0.02806526207935762
trend_strength20,0.026853314465306338
momentum20,0.026243889157266494
volume_zscore20,0.02609649890532255
ma20,0.026091998331561953
macd,0.025436791849692723
ret20_over_vol20,0.025311178883770134
rsi14,0.024127353831957524
momentum5,0.024095813798352527
bb_position,0.023510792452661865
range_pct,0.022989721676647902
close_vs_ma20,0.02261522584402054
drawdown_from_60d_high,0.02255629788276106
momentum10,0.02248406393460599
ret5_over_vol20,0.02231408071041087
volume_change20,0.022184659806795536
range_zscore20,0.02112364696018335
ret_1d,0.017861834220595722
drawdown_from_20d_high,0.017230027847018655
ma_alignment,0.0015774792629981746
