date,open,high,low,close,volume,amount,ret_1d,ma20,ma_alignment,volatility5,volatility20_rank,rebound_from_60d_low,volatility20,macd_histogram,bb_width,trend_strength60,macd_signal,ma60,rebound_from_20d_low,bb_lower,ma60_slope,ma10,ma20_slope,close_vs_ma60,ma5,bb_upper,trend_strength20,momentum20,volume_zscore20,future_ret_5d,future_up_5d,target_end_date,split
2017/06/01,926.87,926.93,909.93,910.16,27017687,30212182016.00,-0.02057506887,951.008,0,0.01090184928,1,0,0.01124291303,-0.7114929824,0.1012999522,-0.9319387581,-23.18746084,1016.009167,0,902.8394675,-0.01047770641,937.152,-0.01911371326,-0.1041813107,925.356,999.1765325,-1.700067697,-0.09248088064,0.4637248481,0.0436736398,1,2017/06/08,train
2017/06/02,907.91,920.05,899.59,918.60,26315871,28400117760.00,0.00927309484,946.9525,0,0.01177862602,1,0.00927309484,0.01167285129,-0.3778996939,0.09380693287,-0.8989319116,-23.28193576,1013.764333,0.00927309484,902.5371452,-0.01049309852,932.345,-0.01970116467,-0.09387224447,924.022,991.3678548,-1.687776549,-0.08113352872,0.2283049802,0.03425865447,1,2017/06/09,train
2017/06/05,919.36,928.46,919.32,926.01,22001063,25342816256.00,0.008066623122,943.4575,0,0.01195172318,1,0.01741452052,0.01198924074,0.5361460961,0.08234864897,-0.9006781158,-23.14789924,1011.466667,0.01741452052,904.6112748,-0.01079844676,929.195,-0.02001350334,-0.0844878724,922.848,982.3037252,-1.669288637,-0.0701870651,-0.8885250079,0.01520501938,1,2017/06/12,train
2017/06/06,925.17,931.10,923.57,931.08,20538777,23099029504.00,0.005475102861,940.9285,0,0.01229847259,0.9841269841,0.02298496968,0.01187159804,1.615537159,0.07384918323,-0.924502321,-22.74401495,1009.226333,0.02298496968,906.1850994,-0.01097531994,926.6,-0.01910084013,-0.07743192062,923.026,975.6719006,-1.608952735,-0.05152496791,-1.207896413,0.02120118572,1,2017/06/13,train
2017/06/07,930.56,949.41,930.05,949.41,31496019,36450308096.00,0.01968681531,940.2825,0,0.01496484826,1,0.04312428584,0.01214559265,3.58452006,0.07131277821,-0.8882603659,-21.84788493,1007.340667,0.04312428584,906.7554213,-0.01078844857,927.274,-0.01607604494,-0.05750851582,927.052,973.8095787,-1.323611404,-0.01342574792,1.404119791,-0.001295541442,0,2017/06/14,train
2017/06/08,949.29,953.52,947.89,949.91,29783000,32990949376.00,0.0005266428624,939.399,0,0.007046256789,0.9846153846,0.0436736398,0.01206588561,4.86182576,0.0667649984,-0.8455657665,-20.63242849,1005.643333,0.0436736398,908.0395136,-0.01020249981,930.179,-0.01220704768,-0.05542057655,935.002,970.7584864,-1.011699271,-0.01826205585,0.8991167861,0.006379551747,1,2017/06/15,train
2017/06/09,948.35,950.57,943.63,950.07,26292191,29530667008.00,0.0001684370098,939.5095,0,0.007949232135,0.9090909091,0.04384943307,0.01115600214,5.605864025,0.06705685468,-0.8729637485,-19.23096248,1003.8915,0.04384943307,908.009224,-0.009738785444,932.659,-0.007859950737,-0.05361286553,941.296,971.009776,-0.7045490526,0.002331567953,-0.0354328812,0.005852200364,1,2017/06/16,train
2017/06/12,946.44,947.62,939.41,940.09,24857761,28905095168.00,-0.01050448914,939.4095,0,0.01096651219,0.9253731343,0.03288432803,0.01132890123,5.316768869,0.06701757682,-0.8414198389,-17.90177027,1001.825,0.03288432803,907.9310258,-0.009532362246,933.48,-0.004290601325,-0.06162253887,944.112,970.8879742,-0.3787305793,-0.002122939422,-0.3508612207,0.02316799455,1,2017/06/19,train
2017/06/13,938.77,951.32,938.49,950.82,23978280,27538153472.00,0.01141380081,939.8865,0,0.01159560762,0.9264705882,0.04467346401,0.01161135413,5.704826372,0.06784718082,-0.7900765762,-16.47556367,999.9678333,0.04467346401,908.0021753,-0.00917385892,935.543,-0.00110741677,-0.04914941431,948.06,971.7708247,-0.09537361077,0.01013513514,-0.6866995274,0.01567068425,1,2017/06/20,train
2017/06/14,949.69,952.01,946.48,948.18,23942074,27337392128.00,-0.002776550767,939.9985,0,0.007879709821,0.9130434783,0.0417728751,0.0115863992,5.630722808,0.06806270746,-0.7922179734,-15.06788297,998.0943333,0.0417728751,908.0090785,-0.009178953694,937.433,-0.0003020368879,-0.05000963503,947.814,971.9879215,-0.02606822729,0.002368014885,-0.9228730003,0.01973254023,1,2017/06/21,train
2017/06/15,946.61,957.06,946.61,955.97,25799257,28317394944.00,0.008215739627,939.583,0,0.008765857472,0.8571428571,0.05033180979,0.01085812157,5.92361495,0.06568302483,-0.8670350122,-13.58697923,996.1758333,0.05033180979,908.7256732,-0.009414371563,942.014,0.0001958699126,-0.04036017738,949.026,970.4403268,0.01803902373,-0.008617828846,-0.2879053169,-0.003682123916,0,2017/06/22,train
2017/06/16,955.04,957.50,953.92,955.63,23786406,27346051072.00,-0.0003556596964,939.031,0,0.008785932198,0.8450704225,0.0499582491,0.01083737505,5.898840277,0.06211875606,-0.8746992726,-12.11226917,994.3751667,0.0499582491,909.8652812,-0.009479444077,945.717,-0.0005093083146,-0.03896433455,950.138,968.1967188,-0.04699554201,-0.01142065027,-0.905980511,-2.092860207e-05,0,2017/06/23,train
2017/06/19,954.62,961.87,954.58,961.87,24114550,28153993216.00,0.006529723847,939.249,0,0.005962323508,0.8055555556,0.05681418652,0.01073152887,6.082732505,0.06346654885,-0.8543300795,-10.59158604,992.64,0.05681418652,909.4435537,-0.009168267911,949.303,-0.0001708520086,-0.03099814636,954.494,969.0544463,-0.01592056553,0.004553477248,-0.7204546296,0.005666046347,1,2017/06/26,train
2017/06/20,962.36,968.48,962.36,965.72,29207079,34873327616.00,0.004002619897,939.6835,0,0.004615768295,0.8219178082,0.06104421201,0.01076143813,6.221385176,0.06623757024,-0.8395833207,-9.036239745,990.933,0.06104421201,908.5623241,-0.009035123963,952.767,-0.0002159835257,-0.02544369801,957.474,970.8046759,-0.02007013589,0.009080175125,0.9724785213,0.001139046515,1,2017/06/27,train
2017/06/21,966.81,968.12,960.93,966.89,24513310,28733640704.00,0.001211531293,940.8945,0,0.003566788787,0.6891891892,0.06232970027,0.01012314974,6.139203032,0.07101998167,-0.8706245009,-7.501438987,989.2976667,0.06232970027,907.4833449,-0.008813462188,954.515,0.0009531930104,-0.02265007532,961.216,974.3056551,0.09415972649,0.02569297845,-0.5575011953,-0.006422654076,0,2017/06/28,train
2017/06/22,966.57,967.95,952.45,952.45,28796433,32909977600.00,-0.01493448065,942.474,0,0.00837818707,0.5866666667,0.04646435792,0.009204815565,4.912727811,0.06874378115,-0.9531116456,-6.273257035,987.4361667,0.04646435792,910.0793868,-0.00877321691,954.769,0.003076896879,-0.03543131986,960.512,974.8686132,0.3342703455,0.03430488891,0.9989450897,0.01260958581,1,2017/06/29,train
2017/06/23,950.53,955.61,941.70,955.61,26756040,30505396224.00,0.003317759462,943.991,0,0.008575678898,0.5789473684,0.04993627494,0.009184924896,4.145319498,0.06745667032,-0.9638032299,-5.23692716,985.5725,0.04993627494,912.1517552,-0.00885246028,955.323,0.005282040742,-0.03040111204,960.508,975.8302448,0.5750771838,0.03279042874,0.2636850215,0.01296554034,1,2017/06/30,train
2017/06/26,955.56,967.32,954.94,967.32,27699600,31757672448.00,0.01225395297,945.763,0,0.009935374191,0.6103896104,0.06280214468,0.009413880727,4.242067245,0.06963142845,-0.9312335532,-4.176410349,983.938,0.06280214468,912.8355857,-0.008766521599,958.046,0.006935328119,-0.01688927554,961.598,978.6904143,0.7367129795,0.03803064772,0.6540091932,0.00654385312,1,2017/07/03,train
2017/06/27,967.38,970.24,964.21,966.82,24854295,28593659904.00,-0.0005168920316,947.5945,0,0.009818169548,0.6025641026,0.06225279072,0.009391324026,4.086497388,0.07039377831,-0.9196046646,-3.154786002,982.375,0.06225279072,914.2421214,-0.008636305381,959.646,0.008418792072,-0.01583407558,961.818,980.9468786,0.8964435738,0.03937905159,-0.362758887,0.005047475228,1,2017/07/04,train
2017/06/28,964.63,964.74,958.99,960.68,23090112,25569832960.00,-0.006350716783,949.1645,0,0.01021078921,0.6329113924,0.05550672409,0.009555640537,3.411689396,0.06884294969,-0.8992381275,-2.301863653,980.7968333,0.05550672409,916.492858,-0.008592796304,960.896,0.008789508282,-0.0205107038,960.576,981.836142,0.9198240817,0.03378960055,-0.970368848,0.01959029021,1,2017/07/05,train
2017/06/29,961.10,966.73,961.10,964.46,23175458,25879787520.00,0.003934712912,951.8795,0,0.006806241646,0.3875,0.05965984003,0.007991311542,3.072102844,0.05812770997,-0.9985751493,-1.533837942,979.5565,0.04992379708,924.2142122,-0.007979925116,961.745,0.009979585644,-0.01541156636,962.978,979.5447878,1.248804479,0.05965984003,-0.8561997239,0.01742944238,1,2017/07/06,train
2017/06/30,962.81,968.34,961.19,968.00,22462576,25971638272.00,0.003670447712,954.3495,0,0.006818292625,0.3703703704,0.06354926606,0.007854349217,2.938110103,0.04964684422,-0.938914603,-0.7993104163,978.3043333,0.04534508267,930.6592795,-0.007374563177,962.982,0.0109730919,-0.01053285055,965.456,978.0397205,1.397072068,0.05377748748,-1.015669457,0.01930785124,1,2017/07/07,train
2017/07/03,968.15,973.65,966.38,973.65,25974105,30062172160.00,0.00583677686,956.7315,0,0.004872795341,0.3658536585,0.06975696581,0.007788994234,3.067962423,0.04418126444,-0.9300762942,-0.03231981044,976.81,0.04572109808,935.5966963,-0.007244358893,964.16,0.01159751439,-0.003235020117,966.722,977.8663037,1.488961738,0.05144652866,0.1526373527,0.01119498793,1,2017/07/10,train
2017/07/04,973.30,973.70,968.64,971.70,27034593,31230750720.00,-0.00200277307,958.7625,0,0.005054363461,0.3734939759,0.06761448537,0.007820116311,2.864373891,0.03834850984,-0.9258744895,0.6837736623,975.2621667,0.03362444021,940.3789434,-0.007240446198,964.758,0.01178563193,-0.003652522151,967.698,977.1460566,1.507091642,0.04362675603,0.4639074463,-0.00200679222,0,2017/07/11,train
2017/07/05,970.97,979.50,969.60,979.50,31177046,37067214848.00,0.008027168879,960.267,0,0.003730986131,0.2619047619,0.07618440714,0.00681529145,3.078157275,0.04168347627,-1.051874447,1.453312981,973.7656667,0.04192151815,940.2533666,-0.007168830922,966.019,0.01169712942,0.00588882267,971.462,980.2806334,1.71630656,0.03169336746,2.168059151,-0.01225114855,0,2017/07/12,train
2017/07/06,978.55,983.78,973.58,981.27,39765890,47377473536.00,0.00180704441,961.835,0,0.003844679468,0.2588235294,0.07812912015,0.006810854706,3.150498155,0.04462051076,-1.071054689,2.24093752,972.4108333,0.04380431661,940.3762155,-0.007294797867,968.901,0.01045878181,0.009110518274,974.824,983.2937845,1.535604893,0.03301365393,3.448433725,-0.01485829588,0,2017/07/13,train
2017/07/07,978.03,986.91,976.80,986.69,38774049,45303369728.00,0.005523454299,963.666,0,0.003956779345,0.2790697674,0.08408411708,0.0068547704,3.356147236,0.04855214315,-1.094434369,3.079974329,970.965,0.04956972205,940.2719752,-0.007502096314,972.009,0.009762146886,0.01619522846,978.562,987.0600248,1.424139149,0.0385445283,2.468333727,-0.02951281558,0,2017/07/14,train
2017/07/10,986.22,989.92,982.87,984.55,42976848,49957175296.00,-0.002168867628,965.889,0,0.004524904539,0.2068965517,0.08173288213,0.006290038739,3.144459974,0.04635976541,-1.175341304,3.866089322,969.5885,0.0383576958,943.4998063,-0.007392942333,973.732,0.00957165098,0.01543077295,980.742,988.2781937,1.521715744,0.04729334425,2.543961408,-0.1024732111,0,2017/07/17,train
