model,panel,feature_count,features,validation_method,policy_selection,selection_rule,return_weight,sharpe_weight,train_label_start,train_label_end,train_target_end,test_label_start,test_label_end,test_target_end,investment_start,investment_end,trading_days,selected_candidate_index,selected_mapping_type,selected_policy_params,valid_score,valid_min_score,valid_mean_score,valid_mean_return,valid_return_std,valid_mean_sharpe,valid_worst_drawdown,valid_2022_accuracy,valid_2022_auc,valid_2023_accuracy,valid_2023_auc,valid_2024_accuracy,valid_2024_auc,test_accuracy,test_auc,buy_hold_cumulative_return,excess_return_pp_vs_buy_hold,relative_wealth_ratio_vs_buy_hold,cumulative_return,annualized_return,max_drawdown,sharpe
logistic_regression,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,return_stability_then_worst_drawdown,"screen candidates within 0.02 of the best mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return), then prefer the least severe worst-fold drawdown; tie break by valid score, mean valid return, mean selection score, and mean Sharpe",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,7954,power,"{""lower_prob"":0.5,""mapping_type"":""power"",""max_position"":1.0,""min_position"":0.2,""power"":3.0,""smoothing_method"":""sma"",""smoothing_window"":5,""upper_prob"":0.55}",0.2296509009018084,0.7668362927862885,1.5312050882845114,0.2459980427535018,0.0653885674067735,1.5310614319239584,-0.427186159584228,0.5189873417721519,0.5319548872180451,0.5063291139240507,0.6266746951678458,0.5485232067510548,0.6072351421188631,0.680379746835443,0.6226222826086956,1.0921233506284724,-0.106435685254177,0.9491255211017056,0.9856876653742954,0.7134601459887149,-0.1461882592801814,2.3121068349485956
random_forest,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,return_stability_then_worst_drawdown,"screen candidates within 0.02 of the best mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return), then prefer the least severe worst-fold drawdown; tie break by valid score, mean valid return, mean selection score, and mean Sharpe",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,4491,rank_linear,"{""lower_rank"":0.25,""mapping_type"":""rank_linear"",""max_position"":0.9,""min_position"":0.1,""smoothing_method"":""sma"",""smoothing_window"":5,""upper_rank"":0.55}",0.2077173297596609,0.9902121885141054,1.2887545441068788,0.214993909406029,0.0291063185854721,1.7728616669623276,-0.3861268286700419,0.5527426160337553,0.6177703875072296,0.4261603375527426,0.7130814391088364,0.569620253164557,0.5986936548952053,0.6455696202531646,0.6447010869565216,1.0921233506284724,-0.2381740685444078,0.8861567753771017,0.8539492820840646,0.6235637253785764,-0.094290909180148,2.816669244891263
gradient_boosting,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,return_stability_then_worst_drawdown,"screen candidates within 0.02 of the best mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return), then prefer the least severe worst-fold drawdown; tie break by valid score, mean valid return, mean selection score, and mean Sharpe",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,2238,linear_clipped,"{""lower_prob"":0.5,""mapping_type"":""linear_clipped"",""max_position"":1.0,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":3,""upper_prob"":0.55}",0.2575301672509665,0.7864523572355807,1.3000053760258934,0.2746705085643011,0.0685613652533383,1.203967381108893,-0.4284463014542127,0.569620253164557,0.5060367264314632,0.6033755274261603,0.4894249586030408,0.5654008438818565,0.5329457364341086,0.6329113924050633,0.6250727872670807,1.0921233506284724,-0.0392014529055582,0.9812623606090042,1.0529218977229142,0.7588425039975191,-0.122110182900349,2.71700768535292
hist_gradient_boosting,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,return_stability_then_worst_drawdown,"screen candidates within 0.02 of the best mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return), then prefer the least severe worst-fold drawdown; tie break by valid score, mean valid return, mean selection score, and mean Sharpe",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,9989,threshold,"{""mapping_type"":""threshold"",""max_position"":0.9,""min_position"":0.3,""smoothing_method"":""sma"",""smoothing_window"":5,""threshold"":0.65}",0.1528402954689375,0.6367450996834526,1.0262557619270118,0.1627916337030227,0.0398053529363407,1.282380580977151,-0.3935005573828501,0.5611814345991561,0.496818970503181,0.4219409282700422,0.5849013999698931,0.5611814345991561,0.5562015503875969,0.6518987341772152,0.6430512422360248,1.0921233506284724,-0.1882807129569601,0.9100049655770054,0.9038426376715124,0.6577668093120745,-0.0928533984187021,2.814312515993187
lightgbm,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,return_stability_then_worst_drawdown,"screen candidates within 0.02 of the best mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return), then prefer the least severe worst-fold drawdown; tie break by valid score, mean valid return, mean selection score, and mean Sharpe",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,1811,rank_linear,"{""lower_rank"":0.15,""mapping_type"":""rank_linear"",""max_position"":0.9,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":5,""upper_rank"":0.55}",0.2010078936625688,0.8969570300138421,1.2180709569912322,0.2061293396352274,0.0204857838906345,1.5944699897573784,-0.3831284207288844,0.5949367088607594,0.5841526894158474,0.4472573839662447,0.6267499623664008,0.5738396624472574,0.5962532299741602,0.6392405063291139,0.6519312888198758,1.0921233506284724,-0.2049348060712315,0.9020445873759456,0.8871885445572409,0.6463717010149435,-0.1047762896070546,2.814323900945694
