feature,importance
volatility20_rank,0.0620649602196615
volatility5,0.05827252879545102
ma60,0.04845490167645235
rebound_from_60d_low,0.047952483532939794
volatility20,0.04786001440181222
rebound_from_20d_low,0.04657893826967739
ma10,0.04316356395333768
ma20,0.04114914261736128
trend_strength60,0.04101975714628668
close_vs_ma60,0.0409473013929282
ma5,0.04005769157766499
ma60_slope,0.03599226773908597
momentum20,0.034986065409958536
ma20_slope,0.03406631247194317
volume_zscore20,0.03373415180851757
momentum10,0.033366222783921526
close_vs_ma20,0.03212161304437802
momentum5,0.031934852197706566
drawdown_from_60d_high,0.031084111923588405
ret20_over_vol20,0.030665389824613566
trend_strength20,0.02983742195855776
drawdown_from_20d_high,0.028206529991139716
range_pct,0.02811617152671459
volume_change20,0.027398871482520112
ret5_over_vol20,0.02601186047767136
range_zscore20,0.023462478065662637
ret_1d,0.019179055066327836
ma_alignment,0.0023153406441195528
